id,name,description,category_id,genre_id,year
1,Побег из Шоушенка,,1,,1994
2,Крестный отец,,1,,1972
3,12 разгневанных мужчин,,1,,1957
4,Список Шиндлера,,1,,1993
5,Криминальное чтиво,,1,,1994
6,"Хороший, плохой, злой",,1,,1966
7,Властелин колец: Братство кольца,,1,,2001
8,Бойцовский клуб,,1,,1999
9,Форрест Гамп,,1,,1994
10,Звёздные войны. Эпизод 5: Империя наносит ответный удар,,1,,1980
11,Властелин колец: Две крепости,,1,,2002
12,Матрица,,1,,1999
13,Пролетая над гнездом кукушки,,1,,1975
14,Назад в будущее,,1,,1985
15,Операция «Ы» и другие приключения Шурика,,1,,1965
16,"Карты, деньги, два ствола",,1,,1998
17,Джентльмены удачи ,,1,,1971
18,Джанго освобожденный,,1,,2012
19,Generation П,,1,,2011
20,Колобок,,2,,1873
21,Страх и ненависть в Лас-Вегасе,,2,,1971
22,Война и мир,,2,,1865
23,Улисс,,2,,1918
24,Generation П,,2,,1999
25,Винни Пух и все-все-все,,2,,1926
26,Стас Михайлов - Позывные на любовь,,3,,2004
27,Led Zeppelin — Stairway to Heaven,,3,,1971
28,Jethro Tull - Aqualung,,3,,1971
29,Elvis Presley - Blue Suede Shoes,,3,,1955
30,Deep Purple — Smoke on the Water,,3,,1971
31,Моцарт - Турецкий марш,,3,,1784
32,Бах. Оркестровая Сюита №2 си минор,,3,,1739
